,Firma,Siedziba,Branża,Sprzedaż 2019,Zysk,Średnia
0,BRISTOL MYERS SQUIBB POLSKA SP. Z O.O.,Warszawa,Hurtownie  wyr. farmaceutycznych,258.89,119.29,175.88
1,TIME SA,Warszawa,Pośrednictwo w sprzedaży miejsca na cele reklamowe,304.53,33.43,81.65
2,ZAKŁAD DROBIARSKI  SP. Z O.O.,Stasin,Ubój i przetwórstwo drobiu,499.59,26.91,80.57
3,KORPORACJA KGL SA,Mościska,Opakowania z tworzyw sztucznych,384.57,12.7,75.43
4,IBM POLSKA SP. Z O.O.,Warszawa,Hurtownie komputerów i oprogramowania,957.34,156.57,63.38
5,TRUMPF HUETTINGER SP. Z O.O.,Zielonka,Systemy rozdziału energii,377.51,71.85,62.04
6,DOW POLSKA SP. Z O.O.,Warszawa,Hurtownie  wyr. chemicznych,262.52,21.62,50.71
7,VICTORIA DOM SA,Warszawa,Przedsiębiorstwa budowlane,439.44,87.92,49.8
8,KLIMA-THERM SP. Z O.O.,Warszawa,Hurtownie pozostałych maszyn,299.46,23.12,46.95
9,KIA MOTORS POLSKA  SP. Z O.O.,Warszawa,Sprzedawcy samochodów,2105.34,44.28,45.48
10,VOLVO CAR POLAND  SP. Z O.O.,Warszawa,Sprzedawcy samochodów,1858.82,4.77,41.53
11,ARCHE SA,Warszawa,Przedsiębiorstwa budowlane,523.21,101.39,40.98
12,ASTRAZENECA PHARMA POLAND SP. Z O.O.,Warszawa,Badania naukowe,539.11,46.44,40.29
13,ERNST & YOUNG SP. Z O.O. CONSULTING SP. K.,Warszawa,Doradztwo,288.98,23.18,39.4
14,INTOP WARSZAWA  SP. Z O.O.,Warszawa,Budowa mostów i tuneli,257.05,8.84,38.42
15,BERLIN CHEMIE MENARINI POLSKA  SP. Z O.O.,Warszawa,Hurtownie  wyr. farmaceutycznych,589.11,21.59,37.3
16,FIEGE SP. Z O.O.,Warszawa,Uporządkowanie transportu ładunków,256.6,18.78,36.42
17,SII SP. Z O.O.,Warszawa,IT,840.18,96.58,36.18
18,TYCO ELECTRONICS POLSKA SP. Z O.O.,Warszawa,Elementy elektryczne,810.81,19.05,34.84
19,VAILLANT SAUNIER DUVAL SP. Z O.O.,Warszawa,Hurtownie  wyr. metalowych,274.15,10.73,34.51
20,REMAK  ENERGOMONTAŻ SA,Warszawa,Prace instalacyjne,374.04,10.65,34.31
21,BIMERG SP. Z O.O.,Gostynin,Stolarka budowlana,417.85,1.31,34.06
22,STAL SERVICE SP. Z O.O.,Warszawa,Metal konstrukcyjny,290.97,7.95,33.06
23,BERGERAT MONNOYEUR SP. Z O.O.,Izabelin-Dziekanówek,Hurtownie maszyn górniczych,882.72,43.34,32.66
24,ANWIM SA,Warszawa,Hurtownie paliw,3880.53,26.04,31.68
25,KNAUF SP. Z O.O.,Warszawa,Hurtownie  mat. budowlanych,589.95,82.81,30.56
26,AUTO WIMAR CENTRUM SP. Z O.O.,Opacz- -Kolonia,Sprzedawcy samochodów,303.48,2.57,30.18
27,WARSAW GAS TRADING SP. Z O.O.,Warszawa,Hurtownie paliw,676.14,6.07,29.68
28,ETRAVEL SA,Warszawa,Operatorzy wycieczek turystycznych,600.37,14.31,29.65
29,PZU CENTRUM OPERACJI SA,Warszawa,Agenci i brokerzy ubezpieczeniowi,343.82,5.99,29.42
30,DE ROOY POLAND  SP. Z O.O.,Warszawa,Transport drogowy,311.28,5.68,29.1
31,MLEASING SP. Z O.O.,Warszawa,Leasing finansowy,523.81,64.24,27.05
32,RHENUS LOGISTICS SA,Warszawa,Centra logistyki,528.97,43.43,26.87
33,ALAB LABORATORIA  SP. Z O.O.,Warszawa,Laboratoria medyczne,255.15,3.05,26.45
34,FIRMA BUDOWLANA ANNA BUD SP. Z O.O.,Warszawa,Przedsiębiorstwa budowlane,305.87,10.5,26.07
35,SERIS KONSALNET OCHRONA SP. Z O.O.,Warszawa,Usługi detektywistyczne i konwojowanie,455.89,4.91,25.49
36,POLBILDING  SP. Z O.O. SP. K.,Warszawa,Hurtownie paliw,349.31,32.36,25.32
37,DELL SP. Z O.O.,Warszawa,Sklepy ze sprzętem komputerowym,1966.61,25.16,24.51
38,NARODOWE CENTRUM BADAŃ JĄDROWYCH,Otwock,Badania naukowe,329.84,46.69,24.44
39,CFE POLSKA SP. Z O.O.,Warszawa,Przedsiębiorstwa budowlane,495.11,22.8,23.94
40,STARCOM SP. Z O.O.,Warszawa,Pośrednictwo w sprzedaży miejsca na cele reklamowe,1033.3,24.37,23.71
41,ZAKŁADY AUTOMATYKI KOMBUD SA,Radom,Budowa dróg szynowych  i kolei,251.05,43.85,23.64
42,LG ELECTRONICS MŁAWA SP. Z O.O.,Mława,Sprzęt AGD,9215.05,224.61,23.5
43,BASF POLSKA SP. Z O.O.,Warszawa,Hurtownie niewyspecjalizowane,2622.95,106.49,23.43
44,ELECTRONIC ARTS POLSKA SP. Z O.O.,Warszawa,Sprzedaż pozostałych towarów,275.28,7.07,23.28
45,ROTEX TRADE SP. Z O.O.,Henryszew,Hurtownie paliw,260.05,1.07,22.95
46,GEODIS POLAND  SP. Z O.O.,Warszawa,Transport drogowy,483.19,10.06,22.64
47,RYWAL RHC SP. Z O.O.,Warszawa,Hurtownie niewyspecjalizowane,406.72,15.32,22.57
48,BIOAGRA SA,Warszawa,Wyroby chemiczne,694.25,42.55,22.09
49,KOMTUR POLSKA  SP. Z O.O.,Warszawa,Hurtownie  wyr. farmaceutycznych,722.74,7.49,22.04
50,SAPPOLSKA SP. Z O.O.,Warszawa,IT,471.87,32.15,21.73
51,VOLVO MASZYNY BUDOWLANE POLSKA SP. Z O.O.,Młochów,Hurtownie maszyn górniczych,398.32,15.12,21.68
52,CREDIT SUISSE (POLAND) SP. Z O.O.,Warszawa,Doradztwo,985.76,39.13,21.53
53,KROSS SA,Przasnysz,"Motocykle, rowery  oraz części",302.93,19.05,21.44
54,NUTRICIA POLSKA SP. Z O.O.,Warszawa,Hurtownie ryb,1030.03,212.22,21.22
55,SCANIA POLSKA SA,Stara Wieś,Sprzedawcy samochodów,2159.26,142.83,21.07
56,STORCK SP. Z O.O.,Warszawa,Wyroby czekoladowe i kakaowe,589.14,17.31,20.97
57,SERIS KONSALNET SECURITY SP. Z O.O.,Warszawa,Usługi detektywistyczne  i konwojowanie,504.93,6.63,20.82
58,PEPSICO LOGISTYKA  SP. Z O.O.,Grodzisk Mazowiecki,Transport drogowy,315.03,2.26,20.58
59,AUTO PODLASIE  SP. Z O.O.,Siedlce,Sprzedawcy samochodów,257.42,0.4,20.32
60,MYLAN EPD SP. Z O.O.,Warszawa,Hurtownie  wyr. farmaceutycznych,482.3,18.81,20.15
61,MB MOTORS SP. Z O.O.,Piaseczno,Sprzedawcy samochodów,638.73,8.93,19.81
62,SCHINDLER POLSKA  SP. Z O.O.,Warszawa,Prace instalacyjne,375.9,21.92,19.71
63,NORGIPS SP. Z O.O.,Warszawa,Hurtownie mat. bud.,417.53,26.71,19.59
64,TOTAL POLSKA SP. Z O.O.,Warszawa,Hurtownie paliw,1139.71,34.56,19.12
65,NATUR PRODUKT ZDROVIT SP. Z O.O.,Warszawa,Hurtownie  wyr. farmaceutycznych,399.95,49.65,18.88
66,WURTH POLSKA  SP. Z O.O.,Warszawa,Hurtownie niewyspecjalizowane,288.75,12.51,18.83
67,BIMS PLUS FHH  SP. Z O.O. SP. K.,Warszawa,Hurtownie  wyr. metalowych,286.24,23.65,18.8
68,MICROSOFT SP. Z O.O.,Warszawa,IT,396.14,65.3,18.54
69,GREEN FACTORY  SP. Z O.O.,Zdunowo,Hurtownie owoców i warzyw,324.33,17.78,18.05
70,DOM DEVELOPMENT SA,Warszawa,Przedsiębiorstwa budowlane,1353.58,304.67,17.94
71,BOSCH REXROTH  SP. Z O.O.,Warszawa,Hurtownie pozostałych maszyn,258.38,17.98,17.75
72,ADIDAS POLAND  SP. Z O.O.,Warszawa,Hurtownie odzieży i obuwia,1268.93,34.54,17.3
73,CEDROB SA,Ujazdówek,Zakłady mięsne,4201.36,150.22,16.89
74,BUDOKRUSZ SA,Odrano- -Wola,Mieszanka betonowa,336.21,16.32,16.84
75,TEVA OPERATIONS POLAND SP. Z O.O.,Warszawa,Preparaty farmaceutyczne,1717.38,208.59,16.78
76,TOYOTA MATERIAL HANDLING POLSKA  SP. Z O.O.,Jaktorów,Hurtownie pozostałych maszyn,420.91,19.22,16.66
77,WARSZAWSKIE ZAKŁADY FARMACEUTYCZNE POLFA SA,Warszawa,Preparaty farmaceutyczne,607.3,113.64,16.65
78,RENAULT POLSKA  SP. Z O.O.,Warszawa,Sprzedawcy samochodów,4846.05,45.22,16.38
79,PANDORA JEWELRY CEE SP. Z O.O.,Warszawa,Sklepy jubilerskie,419.58,22.51,15.82
80,MEDCOM SP. Z O.O.,Warszawa,Urządzenia elektryczne,320.67,42.5,15.71
81,URZĄD DOZORU TECHNICZNEGO,Warszawa,Urzędy władzy wykonawczej,471.95,115.49,15.62
82,CIRCLE K POLSKA  SP. Z O.O.,Warszawa,Stacje benzynowe,5373.9,88.11,15.57
83,WITTCHEN SA,Palmiry,Sklepy obuwnicze,284.04,31.9,15.4
84,CARSERWIS SP. Z O.O.,Warszawa,Sprzedawcy samochodów,331.45,1.09,15.33
